Brand,Source Workbook,Date,Campaign Type,Language,Model,Impressions,Landing page views,Amount spent (CAD),CTR,CPM,Cost per landing page view (CAD),Subscriptions,Cost per subscription (CAD),Adds to cart,Cost per add to cart (CAD),Campaign name,Ad set name
Hyundai,huindi data.xlsx,2026-04-01,add-to-wishlist,total,Unknown,303807.0,5386.0,4800.99,0.0277,10.55896267,0.8922215,478.0,10.048066,887.0,3.643302667,add-to-wishlist,
Hyundai,huindi data.xlsx,2026-04-01,add-to-wishlist,unknown,Lot,159026.0,2774.0,2397.71,0.0271,7.538736,0.864351,234.0,10.246624,403.0,2.9822265,add-to-wishlist,
Hyundai,huindi data.xlsx,2026-04-01,add-to-wishlist,unknown,No-Lot,144781.0,2612.0,2403.28,0.0283,16.599416,0.920092,244.0,9.849508,484.0,4.965455,add-to-wishlist,
Hyundai,huindi data.xlsx,2026-04-01,explore,total,Unknown,341616.0,2367.0,799.96,0.0076,2.341694,0.337964,,,,,explore,
Hyundai,huindi data.xlsx,2026-04-01,models,total,Unknown,530745.0,4955.0,2399.92,0.0134,4.521795,0.484343,,,,,models,
