Brand,Source Workbook,Date,Campaign Type,Language,Model,Impressions,Landing page views,Amount spent (CAD),CTR,CPM,Cost per landing page view (CAD),Subscriptions,Cost per subscription (CAD),Adds to cart,Cost per add to cart (CAD),Campaign name,Ad set name
Mitsubishi,Mitsubishi may data.xlsx,2026-04-01,add-to-wishlist,en,Unknown,248196.0,4144.0,4023.73,0.0192,16.70283063,1.32656075,492.0,27.18419487,607.0,9.825684,add-to-wishlist,
Mitsubishi,Mitsubishi may data.xlsx,2026-04-01,add-to-wishlist,fr,Unknown,62550.0,427.0,1009.59,0.0265,15.8870475,4.5185185,171.0,13.76272362,168.0,8.529148857,add-to-wishlist,
Mitsubishi,Mitsubishi may data.xlsx,2026-04-01,add-to-wishlist,total,Unknown,310746.0,4571.0,5033.32,0.0228,16.29493906,2.922539625,663.0,20.47345925,775.0,9.220634267,add-to-wishlist,
Mitsubishi,Mitsubishi may data.xlsx,2026-04-01,explore,en,Unknown,184574.0,2544.0,679.82,0.0153,3.683184,0.267225,,,,,explore,
Mitsubishi,Mitsubishi may data.xlsx,2026-04-01,explore,fr,Unknown,36751.0,557.0,169.02,0.0186,4.599059,0.303447,,,,,explore,
Mitsubishi,Mitsubishi may data.xlsx,2026-04-01,explore,total,Unknown,221325.0,3101.0,848.84,0.0169,4.1411215,0.285336,,,,,explore,
Mitsubishi,Mitsubishi may data.xlsx,2026-04-01,traffic,en,Unknown,385814.0,8145.0,2035.9,0.026,5.469999,0.25548975,,,,,traffic,
Mitsubishi,Mitsubishi may data.xlsx,2026-04-01,traffic,fr,Unknown,110742.0,2121.0,508.01,0.0226,4.63703825,0.24137125,,,,,traffic,
Mitsubishi,Mitsubishi may data.xlsx,2026-04-01,traffic,total,Unknown,496556.0,10266.0,2543.91,0.0243,5.053518625,0.2484305,,,,,traffic,
