Brand,Source Workbook,Date,Campaign Type,Language,Model,Impressions,Landing page views,Amount spent (CAD),CTR,CPM,Cost per landing page view (CAD),Subscriptions,Cost per subscription (CAD),Adds to cart,Cost per add to cart (CAD),Campaign name,Ad set name
Polestar,Polestar May data Diana new.xlsx,2026-04-01,add-to-wishlist,en,Unknown,126460.0,2300.0,1831.42,0.0212,10.8,0.81,135.0,12.95,250.0,6.38,add-to-wishlist,
Polestar,Polestar May data Diana new.xlsx,2026-04-01,add-to-wishlist,fr,Unknown,41695.0,101.0,600.12,0.0179,7.25,5.96,45.0,13.66,62.0,9.93,add-to-wishlist,
Polestar,Polestar May data Diana new.xlsx,2026-04-01,add-to-wishlist,total,Unknown,168155.0,2401.0,2431.54,0.0199,9.02,2.87,180.0,13.31,312.0,7.8,add-to-wishlist,
Polestar,Polestar May data Diana new.xlsx,2026-04-01,explore,en,Unknown,68946.0,931.0,424.83,0.0174,6.16,0.46,,,,,explore,
Polestar,Polestar May data Diana new.xlsx,2026-04-01,explore,fr,Unknown,21834.0,259.0,99.07,0.0157,4.54,0.38,,,,,explore,
Polestar,Polestar May data Diana new.xlsx,2026-04-01,explore,total,Unknown,90780.0,1190.0,523.9,0.0165,5.35,0.42,,,,,explore,
Polestar,Polestar May data Diana new.xlsx,2026-04-01,traffic,en,Unknown,193341.0,2729.0,1198.57,0.0182,6.2,0.44,,,,,traffic,
Polestar,Polestar May data Diana new.xlsx,2026-04-01,traffic,fr,Unknown,62216.0,748.0,299.86,0.0154,4.82,0.4,,,,,traffic,
Polestar,Polestar May data Diana new.xlsx,2026-04-01,traffic,total,Unknown,255557.0,3477.0,1498.43,0.0168,5.51,0.42,,,,,traffic,
