Brand,Source Workbook,Date,Campaign Type,Language,Model,Impressions,Landing page views,Amount spent (CAD),CTR,CPM,Cost per landing page view (CAD),Subscriptions,Cost per subscription (CAD),Adds to cart,Cost per add to cart (CAD),Campaign name,Ad set name
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-03-01,explore,en,Unknown,,,,0.0256,7.49,0.34,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-04-01,explore,en,Unknown,,,,0.0256,7.29,0.33,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-05-01,explore,en,Unknown,,,,0.0255,7.47,0.35,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-06-01,explore,en,Unknown,,,,0.0244,7.35,0.36,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-07-01,explore,en,Unknown,,,,0.0218,6.01,0.33,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-08-01,explore,en,Unknown,,,,0.0156,5.07,0.38,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-09-01,explore,en,Unknown,,,,0.0121,5.4,0.52,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-10-01,explore,en,Unknown,,,,0.0138,5.23,0.43,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-11-01,explore,en,Unknown,,,,0.0153,6.4,0.47,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-12-01,explore,en,Unknown,,,,0.0141,4.72,0.38,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-01-01,explore,en,Unknown,,,,0.0122,3.22,0.3,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-02-01,explore,en,Unknown,,,,0.0186,4.19,0.29,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-03-01,explore,en,Unknown,,,,0.0184,5.02,0.32,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-04-01,explore,en,Unknown,,,,0.0153,3.68,0.27,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-01-01,explore,fr,Unknown,,,,0.0055,2.04,0.65,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-02-01,explore,fr,Unknown,,,,0.0146,6.4,0.51,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-03-01,explore,fr,Unknown,,,,0.0292,9.51,0.38,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-04-01,explore,fr,Unknown,,,,0.0338,8.9,0.31,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-05-01,explore,fr,Unknown,,,,0.0203,6.42,0.37,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-06-01,explore,fr,Unknown,,,,0.0133,4.85,0.42,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-07-01,explore,fr,Unknown,,,,0.0162,4.73,0.34,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-08-01,explore,fr,Unknown,,,,0.019,5.15,0.3,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-09-01,explore,fr,Unknown,,,,0.019,6.37,0.38,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-10-01,explore,fr,Unknown,,,,0.0186,5.41,0.34,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-11-01,explore,fr,Unknown,,,,0.021,6.8,0.36,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-12-01,explore,fr,Unknown,,,,0.0142,4.97,0.4,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-01-01,explore,fr,Unknown,,,,0.0137,3.62,0.31,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-02-01,explore,fr,Unknown,,,,0.02,4.4,0.39,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-03-01,explore,fr,Unknown,,,,0.0188,5.55,0.48,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-04-01,explore,fr,Unknown,,,,0.0186,4.6,0.3,,,,,explore,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-01-01,models,en,Unknown,,,,0.0213,6.25,0.35,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-02-01,models,en,Unknown,,,,0.0182,6.52,0.41,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-03-01,models,en,Unknown,,,,0.0159,6.58,0.48,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-04-01,models,en,Unknown,,,,0.0254,7.16,0.32,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-05-01,models,en,Unknown,,,,0.0292,8.31,0.33,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-06-01,models,en,Unknown,,,,0.0254,7.8,0.35,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-07-01,models,en,Unknown,,,,0.0152,4.75,0.35,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-08-01,models,en,Unknown,,,,0.0182,4.81,0.3,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-09-01,models,en,Unknown,,,,0.0192,5.33,0.32,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-10-01,models,en,Unknown,,,,0.0186,4.93,0.3,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-11-01,models,en,Unknown,,,,0.0215,5.52,0.29,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-12-01,models,en,Unknown,,,,0.0213,5.13,0.29,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-01-01,models,en,Unknown,,,,0.0208,3.87,0.21,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-02-01,models,en,Unknown,,,,0.0193,3.94,0.25,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-03-01,models,en,Unknown,,,,0.0245,5.32,0.26,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-04-01,models,en,Unknown,,,,0.026,5.47,0.26,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-01-01,models,fr,Unknown,,,,0.0288,5.86,0.24,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-02-01,models,fr,Unknown,,,,0.0205,6.6,0.37,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-03-01,models,fr,Unknown,,,,0.0225,8.0,0.42,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-04-01,models,fr,Unknown,,,,0.0332,7.46,0.26,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-05-01,models,fr,Unknown,,,,0.0218,5.97,0.32,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-06-01,models,fr,Unknown,,,,0.0158,4.76,0.35,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-07-01,models,fr,Unknown,,,,0.0167,4.31,0.29,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-08-01,models,fr,Unknown,,,,0.0144,3.54,0.28,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-09-01,models,fr,Unknown,,,,0.015,4.0,0.3,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-10-01,models,fr,Unknown,,,,0.0168,4.37,0.29,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-11-01,models,fr,Unknown,,,,0.0207,5.56,0.32,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2025-12-01,models,fr,Unknown,,,,0.0198,5.38,0.33,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-01-01,models,fr,Unknown,,,,0.018,4.07,0.28,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-02-01,models,fr,Unknown,,,,0.0216,5.42,0.41,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-03-01,models,fr,Unknown,,,,0.02,5.44,0.47,,,,,models,
Mitsubishi,Mitsubishi 2026 + April.xlsx,2026-04-01,models,fr,Unknown,,,,0.0226,4.64,0.24,,,,,models,
