Brand,Source Workbook,Date,Campaign Type,Language,Model,Impressions,Landing page views,Amount spent (CAD),CTR,CPM,Cost per landing page view (CAD),Subscriptions,Cost per subscription (CAD),Adds to cart,Cost per add to cart (CAD),Campaign name,Ad set name
Hyundai,Hyundai 2026 + April.xlsx,2025-08-01,explore,en,Unknown,,,,0.0048,2.12,0.47,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-09-01,explore,en,Unknown,,,,0.0049,2.09,0.46,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-10-01,explore,en,Unknown,,,,0.0046,1.88,0.46,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-11-01,explore,en,Unknown,,,,0.0041,1.91,0.49,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-12-01,explore,en,Unknown,,,,0.0045,1.67,0.37,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2026-01-01,explore,en,Unknown,,,,0.0048,1.39,0.32,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2026-02-01,explore,en,Unknown,,,,0.0046,1.67,0.43,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2026-03-01,explore,en,Unknown,,,,0.0063,2.36,0.43,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2026-04-01,explore,en,Unknown,,,,0.0069,2.119102,0.32,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-01-01,explore,fr,Unknown,,,,0.0066,2.19,0.41,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-02-01,explore,fr,Unknown,,,,0.0075,2.51,0.37,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-04-01,explore,fr,Unknown,,,,0.0046,1.66,0.4,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-05-01,explore,fr,Unknown,,,,0.0054,1.98,0.39,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-06-01,explore,fr,Unknown,,,,0.0072,2.51,0.38,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-07-01,explore,fr,Unknown,,,,0.0051,2.0,0.44,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-08-01,explore,fr,Unknown,,,,0.006,2.11,0.38,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-09-01,explore,fr,Unknown,,,,0.0055,2.52,0.52,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-10-01,explore,fr,Unknown,,,,0.0061,2.27,0.43,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-11-01,explore,fr,Unknown,,,,0.0046,2.39,0.49,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-12-01,explore,fr,Unknown,,,,0.0048,1.77,0.42,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2026-01-01,explore,fr,Unknown,,,,0.0056,1.48,0.31,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2026-02-01,explore,fr,Unknown,,,,0.0098,2.7,0.58,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2026-03-01,explore,fr,Unknown,,,,0.0122,4.35,0.82,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2026-04-01,explore,fr,Unknown,,,,0.0125,4.037438,0.41,,,,,explore,
Hyundai,Hyundai 2026 + April.xlsx,2025-01-01,models,en,Unknown,,,,0.0055,2.68,0.58,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-02-01,models,en,Unknown,,,,0.0051,2.66,0.58,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-04-01,models,en,Unknown,,,,0.0035,1.64,0.52,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-05-01,models,en,Unknown,,,,0.0037,1.86,0.57,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-06-01,models,en,Unknown,,,,0.0046,2.02,0.47,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-07-01,models,en,Unknown,,,,0.0052,2.36,0.48,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-08-01,models,en,Unknown,,,,0.0052,3.27,0.5,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-09-01,models,en,Unknown,,,,0.0074,3.54,0.52,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-10-01,models,en,Unknown,,,,0.0073,3.21,0.49,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-11-01,models,en,Unknown,,,,0.0069,3.43,0.56,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-12-01,models,en,Unknown,,,,0.0082,4.26,0.81,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2026-01-01,models,en,Unknown,,,,0.0086,3.16,0.52,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2026-02-01,models,en,Unknown,,,,0.0097,3.7,0.79,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2026-03-01,models,en,Unknown,,,,0.0106,4.02,0.91,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2026-04-01,models,en,Unknown,,,,0.0132,4.52,0.51,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-01-01,models,fr,Unknown,,,,0.0106,3.89,0.45,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-02-01,models,fr,Unknown,,,,0.0124,4.67,0.43,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-04-01,models,fr,Unknown,,,,0.0068,2.59,0.43,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-05-01,models,fr,Unknown,,,,0.0055,2.47,0.51,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-06-01,models,fr,Unknown,,,,0.0059,2.58,0.44,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-07-01,models,fr,Unknown,,,,0.0077,3.07,0.44,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-08-01,models,fr,Unknown,,,,0.0087,3.56,0.46,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-09-01,models,fr,Unknown,,,,0.0106,4.8,0.51,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-10-01,models,fr,Unknown,,,,0.0111,4.21,0.52,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-11-01,models,fr,Unknown,,,,0.011,5.03,0.55,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2025-12-01,models,fr,Unknown,,,,0.0104,4.58,0.51,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2026-01-01,models,fr,Unknown,,,,0.0103,3.47,0.4,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2026-02-01,models,fr,Unknown,,,,0.012,4.5,0.68,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2026-03-01,models,fr,Unknown,,,,0.0152,4.91,0.52,,,,,models,
Hyundai,Hyundai 2026 + April.xlsx,2026-04-01,models,fr,Unknown,,,,0.0146,4.63,0.4,,,,,models,
